iter	MultiClass
0	1.086531223
1	1.075425784
2	1.066853112
3	1.059514459
4	1.052455501
5	1.04677762
6	1.041152674
7	1.036467245
8	1.032504178
9	1.029106394
10	1.02568514
11	1.023217002
12	1.020524282
13	1.017727703
14	1.015356345
15	1.012834726
16	1.010802836
17	1.008711942
18	1.007110081
19	1.00559971
20	1.00425864
21	1.002823078
22	1.001506716
23	1.000349849
24	0.9990576387
25	0.997651178
26	0.9964829294
27	0.9953147051
28	0.9939222379
29	0.9929798246
30	0.9920726096
31	0.9908907951
32	0.9901412151
33	0.9891534531
34	0.9884953282
35	0.9875153793
36	0.9866926851
37	0.9860202621
38	0.9853727747
39	0.984885475
40	0.9844768963
41	0.9835950352
42	0.9829017545
43	0.9823751307
44	0.9817807815
45	0.9810929489
46	0.9803423386
47	0.9796743619
48	0.9790764416
49	0.9784945074
50	0.9780530261
51	0.9776428339
52	0.9772089908
53	0.9767471397
54	0.9764110099
55	0.9757329894
56	0.9754058912
57	0.9748413517
58	0.9742933328
59	0.9738167442
60	0.9732537014
61	0.9729948244
62	0.9725779086
63	0.9721533967
64	0.9717287765
65	0.971307895
66	0.9708834487
67	0.9705828959
68	0.970070171
69	0.9697416394
70	0.9694467359
71	0.9692187657
72	0.9689749638
73	0.9686432687
74	0.9682388495
75	0.9678782477
76	0.9676560323
77	0.9672681133
78	0.9669688569
79	0.9667552125
80	0.9664967913
81	0.9662864544
82	0.9660785917
83	0.9657552662
84	0.9654531134
85	0.9651015296
86	0.9648315298
87	0.9645883265
88	0.964236173
89	0.9639052709
90	0.9636429763
91	0.9633857471
92	0.9631438708
93	0.9628114831
94	0.9625611055
95	0.9622840389
96	0.9619022347
97	0.9617409653
98	0.961414523
99	0.9610725021
100	0.9608287559
101	0.9604930648
102	0.9601749066
103	0.9598177195
104	0.9595851643
105	0.9593648799
106	0.959218985
107	0.9590231413
108	0.9586996011
109	0.9583537754
110	0.9581693442
111	0.9579398576
112	0.9577736137
113	0.9575298805
114	0.9572620275
115	0.9570948721
116	0.9567644662
117	0.9565594288
118	0.9563008432
119	0.956043934
120	0.9558524152
121	0.9556341799
122	0.9553505886
123	0.9551479834
124	0.9548785682
125	0.954540367
126	0.9542818497
127	0.9540660497
128	0.9538419447
129	0.9536112851
130	0.9534649818
131	0.953287712
132	0.9529794805
133	0.9527539438
134	0.9525726082
135	0.9524294941
136	0.952206031
137	0.9519557512
138	0.9516008837
139	0.9514641666
140	0.9511215745
141	0.9508493272
142	0.9505638721
143	0.9504234895
144	0.9501801001
145	0.9498926975
146	0.94965371
147	0.9492879709
148	0.9490739519
149	0.9487936456
150	0.9485304722
151	0.9483670601
152	0.948147132
153	0.9479515091
154	0.947712746
155	0.9475074324
156	0.9472229632
157	0.9470242085
158	0.9467444351
159	0.9464764752
160	0.9463159556
161	0.9461246615
162	0.9459370619
163	0.9457268159
164	0.9454790771
165	0.9452631379
166	0.945115238
167	0.9448818154
168	0.9446342616
169	0.9444520358
170	0.944252478
171	0.9439408943
172	0.943753325
173	0.9435422282
174	0.943444166
175	0.9432711088
176	0.9431432376
177	0.942887717
178	0.9427292822
179	0.942568747
180	0.9423927952
181	0.9422482447
182	0.9420988444
183	0.9418264481
184	0.9416101105
185	0.9414798362
186	0.9413088079
187	0.9410563468
188	0.9409136086
189	0.94075126
190	0.9405602797
191	0.9403720623
192	0.9402480462
193	0.9399993323
194	0.9398180559
195	0.9396225079
196	0.9395032474
197	0.9393637842
198	0.9391835674
199	0.939002998
200	0.9389042497
201	0.9387959631
202	0.9387091949
203	0.9384943119
204	0.9383576654
205	0.9382051054
206	0.938060316
207	0.9379281422
208	0.937779809
209	0.937594123
210	0.9374550141
211	0.937372898
212	0.9372793398
213	0.937112068
214	0.9368902376
215	0.9367705379
216	0.9365752227
217	0.9364505304
218	0.9363687019
219	0.9361084071
220	0.9359421048
221	0.9357976111
222	0.9355437344
223	0.9354107841
224	0.9352832159
225	0.9351544071
226	0.9349297548
227	0.9347220214
228	0.9345662926
229	0.934392558
230	0.9342663006
231	0.9341024612
232	0.9338849549
233	0.9337292444
234	0.9335444052
235	0.933323861
236	0.9331715644
237	0.9330469065
238	0.9328647329
239	0.9327072633
240	0.9325385004
241	0.9322622189
242	0.9320769332
243	0.9318729998
244	0.9316980991
245	0.9315643557
246	0.9313250627
247	0.9311983015
248	0.9310493458
249	0.9309777154
250	0.9308508788
251	0.9306557857
252	0.9305688829
253	0.930347893
254	0.9301648855
255	0.930014695
256	0.9299223392
257	0.9297682085
258	0.9296094535
259	0.9294599125
260	0.9293573175
261	0.9292206738
262	0.9290483764
263	0.928907128
264	0.9286416094
265	0.9284099299
