iter	Passed	Remaining
0	252	251908
1	296	148036
2	337	112318
3	378	94256
4	416	82955
5	461	76485
6	503	71412
7	546	67754
8	589	64881
9	629	62297
10	668	60098
11	709	58405
12	752	57133
13	789	55591
14	827	54347
15	864	53193
16	906	52440
17	951	51924
18	990	51140
19	1032	50582
20	1073	50026
21	1117	49678
22	1153	49010
23	1193	48541
24	1234	48131
25	1275	47780
26	1312	47308
27	1354	47007
28	1395	46726
29	1437	46481
30	1477	46170
31	1517	45906
32	1554	45556
33	1596	45348
34	1631	44973
35	1676	44891
36	1720	44782
37	1759	44548
38	1801	44387
39	1839	44139
40	1880	43977
41	1923	43869
42	1969	43829
43	2012	43719
44	2044	43390
45	2084	43236
46	2126	43113
47	2164	42919
48	2202	42742
49	2241	42583
50	2279	42425
51	2322	42335
52	2365	42264
53	2406	42158
54	2454	42179
55	2499	42130
56	2536	41963
57	2585	41986
58	2626	41894
59	2671	41859
60	2716	41817
61	2761	41785
62	2802	41677
63	2848	41657
64	2888	41548
65	2932	41502
66	2971	41381
67	3007	41221
68	3049	41150
69	3090	41052
70	3136	41038
71	3175	40930
72	3219	40887
73	3260	40796
74	3299	40691
75	3336	40564
76	3374	40447
77	3411	40330
78	3450	40224
79	3491	40147
80	3530	40053
81	3566	39925
82	3607	39858
83	3649	39791
84	3687	39694
85	3733	39676
86	3767	39542
87	3807	39455
88	3853	39442
89	3895	39384
90	3937	39334
91	3975	39237
92	4016	39175
93	4056	39095
94	4095	39011
95	4135	38940
96	4177	38890
97	4214	38788
98	4249	38670
99	4289	38606
100	4330	38545
101	4375	38517
102	4417	38472
103	4460	38431
104	4497	38333
105	4535	38255
106	4570	38140
107	4607	38055
108	4650	38016
109	4692	37963
110	4725	37850
111	4762	37763
112	4798	37663
113	4832	37560
114	4875	37518
115	4909	37415
116	4955	37399
117	4998	37363
118	5038	37299
119	5078	37239
120	5116	37168
121	5151	37070
122	5186	36980
123	5226	36919
124	5263	36845
125	5306	36810
126	5345	36748
127	5384	36682
128	5426	36637
129	5462	36555
130	5501	36493
131	5539	36429
132	5583	36396
133	5622	36334
134	5658	36253
135	5692	36165
136	5729	36090
137	5769	36041
138	5810	35990
139	5848	35923
140	5886	35861
141	5929	35824
142	5970	35778
143	6007	35709
144	6049	35670
145	6095	35656
146	6136	35606
147	6175	35551
148	6216	35506
149	6258	35465
150	6301	35431
151	6336	35353
152	6372	35280
153	6408	35204
154	6450	35166
155	6490	35115
156	6533	35079
157	6571	35018
158	6607	34950
159	6647	34900
160	6685	34841
161	6723	34780
162	6764	34733
163	6804	34684
164	6844	34635
165	6884	34587
166	6926	34549
167	6966	34503
168	7006	34454
169	7041	34377
170	7084	34347
171	7123	34291
172	7163	34242
173	7200	34179
174	7239	34127
175	7280	34084
176	7316	34020
177	7359	33984
178	7392	33908
179	7428	33841
180	7470	33803
181	7505	33734
182	7543	33679
183	7583	33633
184	7637	33644
185	7688	33646
186	7727	33595
187	7767	33549
188	7807	33504
189	7844	33441
190	7884	33395
191	7921	33336
192	7956	33268
193	7997	33226
194	8039	33189
195	8077	33135
196	8118	33091
197	8153	33026
198	8192	32976
199	8227	32911
200	8268	32868
201	8308	32823
202	8342	32754
203	8386	32724
204	8426	32679
205	8469	32644
206	8506	32587
207	8548	32548
208	8583	32485
209	8626	32451
210	8669	32416
211	8704	32354
212	8741	32296
213	8783	32259
